source,tag,type,id,label,text,context,aria
rc1_prototype,button,,,,💬 수다,Quick Start,
rc1_prototype,button,,,,📞 전화,Quick Start,
rc1_prototype,button,,,,🎀 데이트,Quick Start,
rc1_prototype,button,,,,🥂 술자리,Quick Start,
rc1_prototype,button,,,,📻 라디오,Quick Start,
rc1_prototype,button,,,,🌙 산책,Quick Start,
rc1_prototype,button,,,,🕰️ 타임슬립,Quick Start,
rc1_prototype,button,,,,🎲 랜덤,Quick Start,
rc1_prototype,select,,sel_era,,,Private Session,
rc1_prototype,input,number,year_timeslip,,,Private Session,
rc1_prototype,select,,sel_scene,,,Private Session,
rc1_prototype,select,,sel_activity,,,Private Session,
rc1_prototype,select,,sel_relationship,,,Private Session,
rc1_prototype,select,,sel_state,,,Private Session,
rc1_prototype,select,,sel_language_support,,,Private Session,
rc1_prototype,select,,sel_proficiency_mode,,,Private Session,
rc1_prototype,select,,sel_learning_mode,,,Private Session,
rc1_prototype,select,,sel_immersion,,,Private Session,
rc1_prototype,select,,sel_support_style,,,Private Session,
rc1_prototype,select,,sel_initiative,,,Private Session,
rc1_prototype,input,text,difficulty_override,,,Private Session,
rc1_prototype,input,text,voice_preference,,,Private Session,
rc1_prototype,input,checkbox,private_session,,,Private Session,
rc1_prototype,button,,btnCopy,,세션 명령 복사,고급 설정 · Advanced,
rc1_prototype,button,,btnLaunch,,복사하고 ChatGPT 열기,고급 설정 · Advanced,
rc1_prototype,button,,btnPreview,,명령 미리보기,고급 설정 · Advanced,
rc1_prototype,button,,btnSavePreset,,현재 프리셋 저장,고급 설정 · Advanced,
rc1_prototype,button,,btnDefaults,,기본값으로 복귀,고급 설정 · Advanced,
rc1_prototype,button,,btnLast,,직전 설정,고급 설정 · Advanced,
rc1_prototype,button,,btnExport,,설정 Export,고급 설정 · Advanced,
rc1_prototype,input,file,importFile,설정 Import,,고급 설정 · Advanced,
rc1_prototype,textarea,,promptOutput,,,생성된 세션 명령,
rc9_public,select,,localeSelect,화면 언어,Auto 한국어 日本語 English,처음 사용하시나요?,
rc9_public,button,,refreshBtn,,새 버전 적용,처음 사용하시나요?,
rc9_public,button,,gotIt,,알겠어요,처음 사용하시나요?,
rc9_public,button,,,,💬 수다,빠른 시작,
rc9_public,button,,,,📞 전화,빠른 시작,
rc9_public,button,,,,🎀 데이트,빠른 시작,
rc9_public,button,,,,🥂 술자리,빠른 시작,
rc9_public,button,,,,📻 라디오,빠른 시작,
rc9_public,button,,,,🌙 산책,빠른 시작,
rc9_public,button,,,,🕰️ 타임슬립,빠른 시작,
rc9_public,button,,,,✏️ 일본어 공부,빠른 시작,
rc9_public,button,,,,🎲 랜덤,빠른 시작,
rc9_public,button,,btnSaveFavorite,,⭐ 현재 설정 저장,즐겨찾기,
rc9_public,select,,era,Era,,세부 설정,
rc9_public,input,number,year_timeslip,Year,,세부 설정,
rc9_public,select,,scene,Scene,,세부 설정,
rc9_public,select,,activity,Activity,,세부 설정,
rc9_public,select,,relationship,Relationship,,세부 설정,
rc9_public,select,,state,State,,세부 설정,
rc9_public,select,,language_support,Language,,세부 설정,
rc9_public,select,,proficiency,Japanese level,,세부 설정,
rc9_public,select,,learning_mode,Learning mode,,세부 설정,
rc9_public,select,,immersion,Immersion,,세부 설정,
rc9_public,select,,support_style,Support,,세부 설정,
rc9_public,select,,initiative,Initiative,,세부 설정,
rc9_public,input,checkbox,private_session,Private Session,,세부 설정,
rc9_public,button,,copyBtn,,설정 복사 복사 후 ChatGPT를 열어 붙여넣어요,처음 사용하시나요?,
rc9_public,a,,openChatgpt,,ChatGPT 열기 열리면 입력창에 붙여넣기,처음 사용하시나요?,
rc9_public,textarea,,fallbackPrompt,,,처음 사용하시나요?,Session setup text
rc9_public,button,,manualCopy,,텍스트 선택해서 복사하기,처음 사용하시나요?,
rc9_public,button,,btnPrevious,,직전 설정 복원,처음 사용하시나요?,
rc9_public,button,,btnBackup,,내 설정 백업,처음 사용하시나요?,
rc9_public,input,file,restoreFile,설정 복원,,처음 사용하시나요?,
rc9_public,button,,btnReset,,기본값,처음 사용하시나요?,
rc10_public,select,,localeSelect,화면 언어,Auto 한국어 日本語 English,처음 사용하시나요?,
rc10_public,button,,refreshBtn,,새 버전 적용,처음 사용하시나요?,
rc10_public,button,,gotIt,,알겠어요,처음 사용하시나요?,
rc10_public,button,,,,💬 수다,빠른 시작,
rc10_public,button,,,,📞 전화,빠른 시작,
rc10_public,button,,,,🎀 데이트,빠른 시작,
rc10_public,button,,,,🥂 술자리,빠른 시작,
rc10_public,button,,,,📻 라디오,빠른 시작,
rc10_public,button,,,,🌙 산책,빠른 시작,
rc10_public,button,,,,🕰️ 타임슬립,빠른 시작,
rc10_public,button,,,,✏️ 일본어 공부,빠른 시작,
rc10_public,button,,,,🎲 랜덤,빠른 시작,
rc10_public,button,,btnSaveFavorite,,⭐ 현재 설정 저장,즐겨찾기,
rc10_public,button,,btnContinuityRequest,,🧠 세션 정리 요청 복사,장기 기록,
rc10_public,button,,btnContinuityRollback,,↩︎ 이전 기록 복원,장기 기록,
rc10_public,input,checkbox,continuitySensitive,민감한 개인 맥락 포함 허용 기본은 꺼짐. 비밀번호·토큰·금융/신분 식별정보·정확한 집 주소·제3자 비밀은 켜도 저장하지 않습니다.,,민감한 개인 맥락 포함 허용,
rc10_public,textarea,,continuityInput,,,ChatGPT가 만든 장기 기록 가져오기,Long-term continuity JSON
rc10_public,button,,btnContinuityInspect,,1. 검사,ChatGPT가 만든 장기 기록 가져오기,
rc10_public,button,,btnContinuityApply,,2. 확인하고 저장,ChatGPT가 만든 장기 기록 가져오기,
rc10_public,button,,btnContinuityClear,,장기 기록 삭제,장기 기록,
rc10_public,select,,era,Era,,세부 설정,
rc10_public,input,number,year_timeslip,Year,,세부 설정,
rc10_public,select,,scene,Scene,,세부 설정,
rc10_public,select,,activity,Activity,,세부 설정,
rc10_public,select,,relationship,Relationship,,세부 설정,
rc10_public,select,,state,State,,세부 설정,
rc10_public,select,,language_support,Language,,세부 설정,
rc10_public,select,,proficiency,Japanese level,,세부 설정,
rc10_public,select,,learning_mode,Learning mode,,세부 설정,
rc10_public,select,,immersion,Immersion,,세부 설정,
rc10_public,select,,support_style,Support,,세부 설정,
rc10_public,select,,initiative,Initiative,,세부 설정,
rc10_public,input,checkbox,private_session,Private Session,,세부 설정,
rc10_public,button,,copyBtn,,설정 복사 복사 후 ChatGPT를 열어 붙여넣어요,처음 사용하시나요?,
rc10_public,a,,openChatgpt,,ChatGPT 열기 열리면 입력창에 붙여넣기,처음 사용하시나요?,
rc10_public,textarea,,fallbackPrompt,,,처음 사용하시나요?,Session setup text
rc10_public,button,,manualCopy,,텍스트 선택해서 복사하기,처음 사용하시나요?,
rc10_public,button,,btnPrevious,,직전 설정 복원,처음 사용하시나요?,
rc10_public,button,,btnBackup,,내 설정 백업,처음 사용하시나요?,
rc10_public,input,file,restoreFile,설정 복원,,처음 사용하시나요?,
rc10_public,button,,btnReset,,기본값,처음 사용하시나요?,
h13_overlay,select,,localeSelect,화면 언어,Auto 한국어 日本語 English,처음 사용하시나요?,
h13_overlay,button,,refreshBtn,,새 버전 적용,처음 사용하시나요?,
h13_overlay,button,,gotIt,,알겠어요,처음 사용하시나요?,
h13_overlay,button,,,,💬 수다,빠른 시작,
h13_overlay,button,,,,📞 전화,빠른 시작,
h13_overlay,button,,,,🎀 데이트,빠른 시작,
h13_overlay,button,,,,🥂 술자리,빠른 시작,
h13_overlay,button,,,,📻 라디오,빠른 시작,
h13_overlay,button,,,,🌙 산책,빠른 시작,
h13_overlay,button,,,,🕰️ 타임슬립,빠른 시작,
h13_overlay,button,,,,✏️ 일본어 공부,빠른 시작,
h13_overlay,button,,,,🎲 랜덤,빠른 시작,
h13_overlay,input,checkbox,private_session,Private Session,,Persona,
h13_overlay,button,,btnSaveFavorite,,⭐ 현재 설정 저장,즐겨찾기,
h13_overlay,button,,btnContinuityRequest,,🧠 세션 정리 요청 복사,장기 기록,
