row,source,tag,type,id,historical_item,context,classification,current_evidence,rationale
1,rc1_prototype,button,,,💬 수다,Quick Start,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
2,rc1_prototype,button,,,📞 전화,Quick Start,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
3,rc1_prototype,button,,,🎀 데이트,Quick Start,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
4,rc1_prototype,button,,,🥂 술자리,Quick Start,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
5,rc1_prototype,button,,,📻 라디오,Quick Start,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
6,rc1_prototype,button,,,🌙 산책,Quick Start,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
7,rc1_prototype,button,,,🕰️ 타임슬립,Quick Start,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
8,rc1_prototype,button,,,🎲 랜덤,Quick Start,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
9,rc1_prototype,select,,sel_era,#sel_era,Private Session,PASS-EXPLICIT,HTML L126 / L359,Era 축과 late_teens/year-timeslip 선택지가 직접 보존됨.
10,rc1_prototype,input,number,year_timeslip,#year_timeslip,Private Session,PASS-EXPLICIT,HTML L126 / L359,연도 지정 시 조건부 number input이 모바일·데스크톱에 직접 존재함.
11,rc1_prototype,select,,sel_scene,#sel_scene,Private Session,PASS-EXPLICIT,HTML L127 / L360,Scene 축이 직접 보존됨.
